municipio,departamento,votos,candidato
Amalfi,Antioquia,1639,Sergio Fajardo
Amalfi,Antioquia,298,Germán Vargas Lleras
Amalfi,Antioquia,136,Humberto de la Calle
Amalfi,Antioquia,11,Viviane Morales
Amalfi,Antioquia,34,Jorque Antonio Trujillo Sarmiento
Andes,Antioquia,9733,Iván Duque
Andes,Antioquia,721,Gustavo Petro
Andes,Antioquia,2848,Sergio Fajardo
Andes,Antioquia,1564,Germán Vargas Lleras
Andes,Antioquia,129,Humberto de la Calle
Andes,Antioquia,35,Viviane Morales
Andes,Antioquia,19,Jorque Antonio Trujillo Sarmiento
Angelopolis,Antioquia,1722,Iván Duque
Angelopolis,Antioquia,87,Gustavo Petro
Angelopolis,Antioquia,485,Sergio Fajardo
Angelopolis,Antioquia,89,Germán Vargas Lleras
Angelopolis,Antioquia,67,Humberto de la Calle
Angelopolis,Antioquia,10,Viviane Morales
Angelopolis,Antioquia,6,Jorque Antonio Trujillo Sarmiento
Angostura,Antioquia,1841,Iván Duque
Angostura,Antioquia,117,Gustavo Petro
Angostura,Antioquia,634,Sergio Fajardo
Angostura,Antioquia,68,Germán Vargas Lleras
Angostura,Antioquia,47,Humberto de la Calle
Angostura,Antioquia,5,Viviane Morales
Angostura,Antioquia,13,Jorque Antonio Trujillo Sarmiento
Anori,Antioquia,1394,Iván Duque
Anori,Antioquia,432,Gustavo Petro
Anori,Antioquia,819,Sergio Fajardo
Anori,Antioquia,95,Germán Vargas Lleras
Anori,Antioquia,127,Humberto de la Calle
Anori,Antioquia,15,Viviane Morales
Anori,Antioquia,11,Jorque Antonio Trujillo Sarmiento
Antioquia,Antioquia,5791,Iván Duque
Antioquia,Antioquia,772,Gustavo Petro
Antioquia,Antioquia,2186,Sergio Fajardo
Antioquia,Antioquia,357,Germán Vargas Lleras
Antioquia,Antioquia,228,Humberto de la Calle
Antioquia,Antioquia,17,Viviane Morales
Antioquia,Antioquia,21,Jorque Antonio Trujillo Sarmiento
Anza,Antioquia,1872,Iván Duque
Anza,Antioquia,61,Gustavo Petro
Anza,Antioquia,269,Sergio Fajardo
Anza,Antioquia,107,Germán Vargas Lleras
Anza,Antioquia,46,Humberto de la Calle
Anza,Antioquia,6,Viviane Morales
Anza,Antioquia,11,Jorque Antonio Trujillo Sarmiento
Apartado,Antioquia,15171,Iván Duque
Apartado,Antioquia,16836,Gustavo Petro
Apartado,Antioquia,6653,Sergio Fajardo
Apartado,Antioquia,1377,Germán Vargas Lleras
Apartado,Antioquia,666,Humberto de la Calle
Apartado,Antioquia,98,Viviane Morales
Apartado,Antioquia,195,Jorque Antonio Trujillo Sarmiento
Arboletes,Antioquia,4366,Iván Duque
Arboletes,Antioquia,2788,Gustavo Petro
Arboletes,Antioquia,670,Sergio Fajardo
Arboletes,Antioquia,1861,Germán Vargas Lleras
Arboletes,Antioquia,113,Humberto de la Calle
Arboletes,Antioquia,53,Viviane Morales
Arboletes,Antioquia,39,Jorque Antonio Trujillo Sarmiento
Argelia,Antioquia,2580,Iván Duque
Argelia,Antioquia,93,Gustavo Petro
Argelia,Antioquia,134,Sergio Fajardo
Argelia,Antioquia,57,Germán Vargas Lleras
Argelia,Antioquia,22,Humberto de la Calle
Argelia,Antioquia,9,Viviane Morales
Argelia,Antioquia,7,Jorque Antonio Trujillo Sarmiento
Armenia,Antioquia,1285,Iván Duque
Armenia,Antioquia,109,Gustavo Petro
Armenia,Antioquia,165,Sergio Fajardo
Armenia,Antioquia,135,Germán Vargas Lleras
Armenia,Antioquia,68,Humberto de la Calle
Armenia,Antioquia,10,Viviane Morales
Armenia,Antioquia,32,Jorque Antonio Trujillo Sarmiento
Barbosa,Antioquia,10186,Iván Duque
Barbosa,Antioquia,1639,Gustavo Petro
Barbosa,Antioquia,6814,Sergio Fajardo
Barbosa,Antioquia,861,Germán Vargas Lleras
Barbosa,Antioquia,383,Humberto de la Calle
Barbosa,Antioquia,34,Viviane Morales
Barbosa,Antioquia,116,Jorque Antonio Trujillo Sarmiento
Bello,Antioquia,86219,Iván Duque
Bello,Antioquia,15947,Gustavo Petro
Bello,Antioquia,62845,Sergio Fajardo
Bello,Antioquia,7727,Germán Vargas Lleras
Bello,Antioquia,3960,Humberto de la Calle
Bello,Antioquia,293,Viviane Morales
Bello,Antioquia,542,Jorque Antonio Trujillo Sarmiento
Belmira,Antioquia,1321,Iván Duque
Belmira,Antioquia,61,Gustavo Petro
Belmira,Antioquia,540,Sergio Fajardo
Belmira,Antioquia,92,Germán Vargas Lleras
Belmira,Antioquia,129,Humberto de la Calle
Belmira,Antioquia,4,Viviane Morales
Belmira,Antioquia,8,Jorque Antonio Trujillo Sarmiento
Betania,Antioquia,2228,Iván Duque
Betania,Antioquia,95,Gustavo Petro
Betania,Antioquia,440,Sergio Fajardo
Betania,Antioquia,129,Germán Vargas Lleras
Betania,Antioquia,56,Humberto de la Calle
Betania,Antioquia,13,Viviane Morales
Betania,Antioquia,7,Jorque Antonio Trujillo Sarmiento
